CtgID	LG	Start	End	Size
seqctg_1	LG3	1	278675	278675
seqctg_2	LG4	1	470711	470711
seqctg_3	LG4	478430	867795	389366
seqctg_4	LG3	280119	702189	422071
seqctg_5	LG9	1	734809	734809
seqctg_6	LG2	1	397302	397302
seqctg_7	LG2	402873	727810	324938
seqctg_8	LG3	704545	1662950	958406
seqctg_9	LG0	1	887946	887946
seqctg_10	LG2	737272	986911	249640
seqctg_11	LG0	891665	1117421	225757
seqctg_12	LG0	1125305	1329773	204469
seqctg_13	LG1	1	227229	227229
seqctg_14	LG0	1334266	1896849	562584
seqctg_15	LG4	868698	1422091	553394
seqctg_16	LG9	738036	1234765	496730
seqctg_17	LG0	1899881	2058313	158433
seqctg_18	LG0	2062135	2819661	757527
seqctg_19	LG1	231324	252916	21593
seqctg_20	LG1	259454	709111	449658
seqctg_21	LG0	2823494	3724046	900553
seqctg_22	LG1	713959	879434	165476
seqctg_23	LG0	3728661	4308860	580200
seqctg_24	LG0	4313741	5045514	731774
seqctg_25	LG0	5052013	5871569	819557
seqctg_26	LG5	1	432824	432824
seqctg_27	LG0	5879830	6419827	539998
seqctg_28	LG6	1	970731	970731
seqctg_29	LG0	6420476	6543237	122762
seqctg_30	LG7	1	87143	87143
seqctg_31	LG2	989498	1157126	167629
seqctg_32	LG3	1663993	2089190	425198
seqctg_33	LG4	1430044	2344992	914949
seqctg_34	LG5	433491	1144001	710511
seqctg_35	LG6	975375	1214304	238930
seqctg_36	LG1	888471	1238263	349793
seqctg_37	LG7	388283	999448	611166
seqctg_38	LG2	1165109	1312336	147228
seqctg_39	LG5	1146478	1447719	301242
seqctg_40	LG3	2096464	3032256	935793
seqctg_41	LG2	1321179	2058168	736990
seqctg_42	LG3	3036871	3978800	941930
seqctg_43	LG9	1240669	1593334	352666
seqctg_44	LG1	1248033	1818021	569989
seqctg_45	LG2	2062713	2894796	832084
seqctg_46	LG1	1824948	2788416	963469
seqctg_47	LG0	6544519	7292151	747633
seqctg_48	LG0	7301164	7786930	485767
seqctg_49	LG3	3984807	4742871	758065
seqctg_50	LG5	1454176	2295100	840925
